ticket_id,flight_number,cancel_reason,refund_status,customer_id
af3f5eb9,TK250,personal,approved,C53798
ccc11924,TK466,crew,approved,C30700
af892984,TK570,weather,rejected,C92534
21b2168a,TK551,weather,processing,C30954
d41b3316,TK539,personal,processing,C56976
bdd95895,TK194,weather,rejected,C55095
2b7254c8,TK155,schedule,rejected,C57068
ba8aa52b,TK456,personal,approved,C71250
fa2a0ba8,TK445,crew,processing,C17415
37d34717,TK289,weather,rejected,C47726
3520b7bb,TK599,personal,approved,C59976
eb1c0219,TK988,schedule,approved,C44148
36ea3f28,TK411,crew,approved,C95076
df144045,TK174,weather,approved,C48578
77d33f71,TK610,schedule,rejected,C95029
d3fe90a5,TK325,schedule,approved,C95160
14207ca3,TK862,schedule,processing,C67649
a5e72603,TK771,schedule,approved,C35711
c6ba793d,TK245,other,processing,C96511
a1989c86,TK458,schedule,approved,C37127
b92b0435,TK671,personal,approved,C28375
6e146225,TK154,schedule,approved,C20014
6e07c8a5,TK316,schedule,approved,C40881
f5f5be5e,TK587,personal,approved,C62874
3cec4e16,TK485,personal,approved,C78368
a7bbb95a,TK602,weather,approved,C42920
4f076621,TK251,personal,approved,C12800
a2da8c30,TK283,other,approved,C87603
241a8fdb,TK259,weather,approved,C30583
6e67c5e1,TK811,other,rejected,C99285
32cbc3ce,TK188,schedule,approved,C42934
539a93bb,TK556,schedule,approved,C29873
5dd62d90,TK352,weather,rejected,C31644
7f045d47,TK524,schedule,rejected,C45060
085de4eb,TK697,personal,approved,C35675
be428bdc,TK870,crew,approved,C63312
99cc6331,TK342,schedule,rejected,C95091
b5982a47,TK897,weather,rejected,C81569
b2b46fd9,TK160,schedule,rejected,C28919
452de243,TK916,personal,approved,C80305
a8b87f9d,TK119,personal,rejected,C37962
93dae8f7,TK198,other,approved,C92912
2ee85da3,TK831,crew,approved,C28624
39dcca91,TK499,schedule,processing,C77391
bf682887,TK400,weather,processing,C62815
b6ca2ba1,TK506,personal,rejected,C79267
7fda9368,TK877,schedule,approved,C74887
0230278c,TK497,crew,processing,C53526
28a53b9a,TK784,schedule,processing,C21889
d20afcb2,TK975,weather,approved,C56289
4d30f405,TK581,weather,approved,C10112
74b9dccc,TK278,personal,approved,C26523
0b8ab047,TK824,schedule,rejected,C20808
54f84bc6,TK831,schedule,approved,C10887
86f9850d,TK400,personal,approved,C91938
501762e9,TK599,crew,processing,C87789
a4dce322,TK664,schedule,rejected,C56220
674c129b,TK560,weather,approved,C55270
67107602,TK174,crew,approved,C32931
8fbd4850,TK541,other,approved,C61913
148425ef,TK752,personal,approved,C64845
23739778,TK772,personal,processing,C26901
0aceb522,TK174,schedule,rejected,C72120
8afcbfcd,TK145,crew,approved,C24256
72bbd443,TK395,weather,approved,C69778
4e8618cf,TK542,personal,approved,C51167
44d0b7c6,TK745,other,rejected,C98229
8100340e,TK260,weather,processing,C70710
2832820f,TK294,crew,approved,C32547
74f29734,TK744,personal,approved,C74619
62d77413,TK661,crew,approved,C26193
ab658034,TK258,crew,approved,C91730
f3792dd0,TK982,schedule,rejected,C22360
6ef1fdf2,TK826,personal,approved,C55800
08f07e91,TK256,schedule,processing,C28689
c45fc030,TK168,personal,rejected,C52137
9b97f20e,TK500,schedule,processing,C58442
47f75404,TK495,personal,approved,C11813
bb126ce6,TK556,personal,approved,C65276
6f284710,TK752,other,approved,C52051
ca3a7212,TK820,other,approved,C75618
f6dc2214,TK465,personal,rejected,C91132
eeb257df,TK687,other,approved,C40981
2fa2397f,TK213,schedule,approved,C92289
478cefc2,TK513,schedule,processing,C60931
8a56ca93,TK477,schedule,approved,C70686
85852905,TK295,personal,rejected,C78498
bcbc8e8b,TK333,schedule,approved,C85945
a4e96b79,TK701,weather,processing,C20278
f0eaa266,TK294,other,approved,C72943
858f2094,TK730,weather,approved,C70128
feb43d94,TK697,other,approved,C15039
5c0b4c4b,TK213,weather,approved,C37586
e4eb3b90,TK671,weather,processing,C77087
a0b39c02,TK701,schedule,processing,C76897
72e8cb07,TK988,crew,rejected,C17610
3f412de7,TK736,personal,rejected,C86162
aa06927d,TK188,other,approved,C20103
f06fe181,TK838,personal,approved,C92409
5f3f35e3,TK697,personal,approved,C34170
90dddb91,TK419,other,processing,C53803
c31dc9cf,TK882,schedule,approved,C28257
ca74e348,TK180,weather,rejected,C30025
8183756d,TK555,personal,approved,C93961
196c03a3,TK122,other,approved,C48506
fd1cfd49,TK850,personal,rejected,C34417
a4ef43b6,TK479,weather,approved,C17352
03ed22b6,TK174,weather,approved,C51094
ef8223bb,TK404,weather,approved,C83539
c82dc41b,TK251,personal,rejected,C45842
90dfe9a9,TK250,other,approved,C66704
9ea0b5ee,TK283,weather,approved,C35500
67ad8d93,TK736,schedule,rejected,C28452
2add6bc4,TK385,personal,approved,C57406
9f753162,TK412,weather,processing,C22356
89e725b7,TK587,personal,approved,C45098
c2fea037,TK976,schedule,approved,C67620
9c16c979,TK290,schedule,approved,C79463
239d68b0,TK990,schedule,rejected,C12591
5ceb698c,TK952,crew,approved,C72061
d6167499,TK500,weather,approved,C94774
