complaint_id,flight_number,customer_id,category,status,created_at
174710ec,TK250,C24484,delay,resolved,2025-08-13
32af0f7d,TK870,C55113,delay,resolved,2025-07-24
34b89861,TK290,C29201,delay,pending,2025-07-24
392df861,TK385,C63363,service,resolved,2025-07-11
993c9b9b,TK198,C52828,baggage,resolved,2025-06-22
1781a586,TK497,C10207,delay,resolved,2025-06-22
f76c4b6a,TK264,C78619,delay,resolved,2025-07-27
3ff347d4,TK208,C20754,other,resolved,2025-07-19
034bfa21,TK889,C65922,service,pending,2025-07-07
cadb286f,TK456,C72711,delay,pending,2025-07-26
037a8ad8,TK556,C23395,baggage,open,2025-07-08
0d5d2c84,TK587,C14895,service,pending,2025-07-09
8a72c624,TK245,C19715,baggage,open,2025-07-14
a1322b54,TK160,C15782,delay,resolved,2025-07-26
ec17a016,TK243,C45585,other,resolved,2025-08-05
a3662add,TK811,C48067,delay,pending,2025-07-29
9bafb0dc,TK697,C93362,baggage,resolved,2025-06-17
5adca5d8,TK762,C74612,delay,resolved,2025-06-28
d38f987d,TK506,C22329,delay,resolved,2025-07-17
0b16a727,TK180,C70631,delay,resolved,2025-08-13
5d3ee15f,TK160,C41750,delay,open,2025-07-26
17bd2fc5,TK976,C34226,service,resolved,2025-07-29
2ab483bd,TK687,C82909,other,resolved,2025-07-22
7228a539,TK598,C84520,delay,resolved,2025-07-16
619613b7,TK202,C15901,service,pending,2025-07-01
5a091541,TK198,C24716,delay,pending,2025-08-10
72e391f4,TK862,C60200,baggage,open,2025-07-26
3111f5a1,TK252,C27347,service,pending,2025-06-17
61e9f410,TK668,C99099,other,resolved,2025-08-03
f91f38c9,TK243,C84270,delay,resolved,2025-06-17
61f2f6aa,TK892,C45262,baggage,resolved,2025-08-14
d00a65ed,TK670,C82146,delay,resolved,2025-07-13
57bcdb03,TK744,C65677,other,open,2025-06-21
33bde831,TK385,C35032,delay,open,2025-07-26
1eff655b,TK987,C80984,baggage,resolved,2025-08-09
86b44b27,TK602,C33291,baggage,resolved,2025-07-07
730d7af2,TK970,C33312,delay,resolved,2025-07-18
fcd10b6a,TK513,C22411,seat,resolved,2025-07-10
04421087,TK810,C42371,delay,resolved,2025-07-12
e4fb45c9,TK289,C36715,delay,open,2025-07-25
00e1b00f,TK988,C79252,service,resolved,2025-07-20
a106dd50,TK291,C16548,service,resolved,2025-08-06
9f8b9697,TK183,C34022,service,resolved,2025-08-15
10cfa8e3,TK561,C70428,service,resolved,2025-07-26
800f9a6b,TK283,C26052,seat,pending,2025-07-11
66a47615,TK613,C51424,service,resolved,2025-07-26
666619ff,TK385,C39300,delay,open,2025-06-25
8e97806f,TK383,C47487,baggage,resolved,2025-07-06
0b6c547d,TK342,C38380,delay,resolved,2025-07-26
be513122,TK519,C74041,seat,pending,2025-07-30
e09e786a,TK316,C13191,delay,resolved,2025-06-17
a1db31ec,TK404,C13631,delay,pending,2025-06-19
ea985d1c,TK434,C38671,other,resolved,2025-08-05
48331253,TK316,C38602,delay,resolved,2025-07-30
7a87369b,TK534,C17099,delay,pending,2025-08-11
876bd24b,TK889,C40111,other,resolved,2025-08-08
ba9068a9,TK488,C80476,service,resolved,2025-08-15
6e822e3d,TK838,C17788,seat,open,2025-07-30
9760def5,TK138,C93588,delay,resolved,2025-07-16
42426aa2,TK610,C58355,delay,resolved,2025-08-09
a6166cff,TK500,C74027,delay,resolved,2025-08-11
be2d8499,TK370,C86295,delay,open,2025-07-15
aedeabcc,TK970,C49279,other,resolved,2025-07-07
9af68fd4,TK730,C45144,delay,resolved,2025-06-28
159b9838,TK921,C60979,baggage,resolved,2025-07-06
f9be1f87,TK455,C88040,delay,open,2025-06-27
cc0bb913,TK198,C56857,baggage,resolved,2025-07-07
2ba4a467,TK655,C27153,baggage,resolved,2025-07-16
962e8b5d,TK892,C79519,seat,resolved,2025-08-05
7415d6dd,TK499,C26905,delay,pending,2025-06-22
d45a3e28,TK311,C55000,delay,resolved,2025-06-17
7ac5ed26,TK466,C59145,baggage,pending,2025-07-17
203dca35,TK499,C24291,service,open,2025-07-01
5ee106f2,TK848,C94080,baggage,resolved,2025-07-15
43dfb655,TK198,C58758,seat,resolved,2025-06-30
bddd3baa,TK311,C66849,baggage,resolved,2025-08-08
4b2e4e8c,TK260,C33911,delay,open,2025-07-15
c82c758d,TK848,C67941,baggage,resolved,2025-07-19
13f50d5b,TK838,C58908,service,open,2025-08-01
958dd71c,TK664,C65731,seat,resolved,2025-06-26
0e7236ed,TK198,C56486,seat,resolved,2025-07-04
35af9da2,TK465,C37044,delay,resolved,2025-06-23
6d393530,TK870,C93986,service,open,2025-07-03
83e609ae,TK294,C19496,baggage,open,2025-07-05
5d4f05b4,TK561,C75095,delay,resolved,2025-08-15
c8640af6,TK848,C48787,service,resolved,2025-07-05
56760bcd,TK122,C78056,delay,resolved,2025-07-08
140c86a4,TK157,C89578,service,resolved,2025-08-03
5465c5f6,TK916,C94899,service,resolved,2025-06-23
5c1241bf,TK405,C45851,baggage,resolved,2025-07-13
3b86907e,TK404,C50372,delay,resolved,2025-06-26
a0d6f552,TK858,C99822,delay,pending,2025-07-10
ec20bc0f,TK861,C92617,delay,resolved,2025-07-27
a0df1e9d,TK466,C28313,seat,resolved,2025-07-10
d61a7d02,TK471,C83445,delay,resolved,2025-07-26
e5a00fe2,TK919,C90073,baggage,resolved,2025-06-20
ad8f49c2,TK765,C47804,service,resolved,2025-08-12
80c1ab9c,TK952,C46060,baggage,open,2025-07-31
778ee98d,TK752,C33225,delay,resolved,2025-07-23
f22409ed,TK259,C75697,delay,resolved,2025-06-17
590dc93a,TK862,C38731,delay,resolved,2025-07-28
c9f6bde4,TK752,C88229,baggage,resolved,2025-06-19
90737e2c,TK405,C47861,delay,pending,2025-07-28
afea9e34,TK760,C67775,delay,open,2025-06-28
6618dbf9,TK309,C86256,service,resolved,2025-06-18
daed8022,TK765,C35051,baggage,pending,2025-06-17
7763254c,TK539,C31621,baggage,resolved,2025-08-12
a1c9dfba,TK975,C59811,baggage,open,2025-08-10
3e1a49ec,TK952,C40254,seat,resolved,2025-08-07
06f292ab,TK661,C13471,delay,resolved,2025-08-06
e357dbbf,TK250,C44865,service,resolved,2025-07-17
9209430f,TK495,C16397,delay,resolved,2025-06-18
d231dc83,TK499,C93820,baggage,open,2025-07-12
fd6fa3b4,TK250,C80553,seat,pending,2025-07-10
df86272f,TK243,C52963,seat,resolved,2025-08-11
ad6d1d2c,TK561,C36201,service,resolved,2025-06-27
1620e7aa,TK870,C12839,baggage,resolved,2025-06-23
6cfa5108,TK820,C27069,baggage,open,2025-07-16
14b73825,TK831,C77155,baggage,pending,2025-07-17
919498a3,TK587,C11431,service,resolved,2025-07-19
abc55e1c,TK136,C10162,delay,resolved,2025-08-06
9548ce03,TK507,C42591,delay,resolved,2025-07-22
3ab88bf7,TK831,C42972,delay,open,2025-07-11
6c109937,TK477,C69063,service,resolved,2025-07-04
fb00bfd2,TK309,C25892,delay,resolved,2025-08-09
853e0073,TK250,C24289,baggage,resolved,2025-07-23
b378fb36,TK502,C87454,seat,resolved,2025-07-21
39b2f24d,TK551,C12539,baggage,resolved,2025-07-10
c481a26c,TK295,C28745,other,open,2025-07-24
b6d67771,TK161,C44521,service,resolved,2025-06-26
0e0c21fb,TK598,C97896,other,pending,2025-07-06
96d56813,TK119,C16304,service,resolved,2025-07-05
803124e4,TK831,C25352,seat,resolved,2025-07-30
883f0fa1,TK202,C85415,service,pending,2025-06-19
35462db2,TK506,C28474,service,resolved,2025-07-30
2e5b69b5,TK975,C77169,service,resolved,2025-08-15
e05eb716,TK245,C57945,service,pending,2025-06-29
d11e90cf,TK294,C78673,service,pending,2025-06-26
f5128a11,TK670,C22924,baggage,resolved,2025-06-30
093c47d8,TK848,C40651,delay,pending,2025-06-26
42421191,TK260,C20800,delay,resolved,2025-07-27
91a4fef2,TK445,C84905,delay,resolved,2025-07-25
03707cd2,TK434,C15774,delay,pending,2025-07-25
487ceffd,TK342,C24939,delay,pending,2025-07-07
f2032c92,TK259,C28489,baggage,resolved,2025-08-14
0877186b,TK138,C91816,service,resolved,2025-07-03
aaf8ce6c,TK952,C33648,delay,resolved,2025-07-08
4e1ca498,TK843,C58563,delay,resolved,2025-07-04
382e79df,TK507,C42658,delay,open,2025-08-04
a2108e78,TK251,C71001,service,resolved,2025-07-06
c2f6a940,TK230,C85939,delay,resolved,2025-08-07
0c0c8927,TK294,C31038,service,pending,2025-07-29
fa600f9a,TK607,C16971,baggage,resolved,2025-08-09
bc14781e,TK811,C47711,seat,pending,2025-06-27
2e8cb6de,TK570,C11898,other,open,2025-08-15
7ba63913,TK138,C99087,delay,resolved,2025-06-29
5d0c14b1,TK730,C30074,delay,resolved,2025-07-01
abff4f57,TK982,C15906,seat,pending,2025-07-01
f39022f0,TK850,C64400,delay,pending,2025-07-26
1ef79495,TK325,C66481,service,pending,2025-07-16
a6db16f8,TK555,C36170,service,open,2025-07-22
6c54d448,TK385,C65426,delay,resolved,2025-07-13
51d6149a,TK519,C34217,service,resolved,2025-07-19
91e1a2bc,TK919,C59416,seat,resolved,2025-07-28
4b4bf04e,TK524,C91835,other,pending,2025-07-03
8dbc1ca1,TK138,C36475,delay,resolved,2025-07-25
c65e1323,TK294,C19346,seat,resolved,2025-06-29
d2cebf54,TK539,C46116,service,open,2025-07-14
275dbc58,TK455,C35556,delay,pending,2025-06-26
65b25bd7,TK927,C23230,service,resolved,2025-07-24
f985e5ef,TK784,C86975,delay,resolved,2025-07-03
65b3ca25,TK542,C28058,seat,resolved,2025-07-14
7a5a8b20,TK771,C68067,baggage,open,2025-07-12
f2d3c613,TK850,C84663,service,resolved,2025-08-10
3ce4a501,TK990,C48547,delay,pending,2025-07-24
a6a1f857,TK202,C85330,baggage,resolved,2025-07-09
b18f77d0,TK771,C81906,baggage,resolved,2025-06-25
6458f2cd,TK231,C58781,other,resolved,2025-08-07
bf27dc1b,TK889,C60939,baggage,resolved,2025-07-14
6298a548,TK342,C96661,baggage,resolved,2025-07-20
93a4d89e,TK250,C93297,delay,resolved,2025-07-11
79906d4c,TK477,C96516,delay,resolved,2025-07-17
c950903a,TK236,C81678,service,resolved,2025-07-22
765efcf8,TK560,C33383,service,pending,2025-07-25
0b91bcce,TK824,C28351,baggage,pending,2025-08-13
599a8867,TK744,C31778,seat,open,2025-08-09
479dae29,TK744,C38365,baggage,resolved,2025-06-22
fdd27bca,TK645,C88610,seat,open,2025-07-09
7e85ca8f,TK168,C44228,delay,open,2025-07-17
927f6226,TK309,C59416,service,resolved,2025-07-22
13d78ef6,TK736,C56733,delay,resolved,2025-06-18
962a51a5,TK848,C81363,service,pending,2025-08-14
13667896,TK492,C91768,delay,resolved,2025-06-21
1b2b7658,TK471,C80910,service,resolved,2025-06-28
588b7a3b,TK333,C61631,service,resolved,2025-07-01
ba894a9c,TK264,C68929,delay,resolved,2025-06-29
be966844,TK423,C68643,delay,resolved,2025-06-24
ac2aff45,TK251,C77580,delay,open,2025-07-12
71fa7c5d,TK160,C19168,service,pending,2025-08-08
e7855a6d,TK921,C99388,baggage,open,2025-06-23
b34811b0,TK198,C81853,baggage,resolved,2025-07-21
f0ec020c,TK180,C98668,service,pending,2025-07-09
8f3360af,TK145,C71944,baggage,resolved,2025-08-09
39635caa,TK655,C53355,service,resolved,2025-07-02
cd98d379,TK645,C18770,baggage,pending,2025-07-13
8491a4ef,TK570,C21190,other,resolved,2025-07-09
a18f1933,TK861,C50197,seat,open,2025-08-04
9fd37bfb,TK445,C38933,service,open,2025-06-17
f4bfcf7e,TK383,C39033,other,resolved,2025-06-28
ff866390,TK466,C83869,baggage,resolved,2025-06-21
19d876b9,TK598,C81344,delay,open,2025-07-01
5827a748,TK174,C68557,seat,pending,2025-07-14
7129cb65,TK736,C26724,delay,resolved,2025-07-05
e482e595,TK745,C15482,service,resolved,2025-07-23
302d7f47,TK573,C80448,baggage,open,2025-06-26
63730afa,TK745,C54602,delay,pending,2025-08-03
204f19fd,TK884,C32207,baggage,pending,2025-08-03
5a46f3ac,TK210,C69518,delay,resolved,2025-07-03
51ebd7b5,TK581,C18210,delay,pending,2025-06-24
79889bd5,TK551,C82124,delay,pending,2025-07-08
6b2b414a,TK919,C13321,baggage,pending,2025-07-01
270e0621,TK456,C89190,baggage,pending,2025-06-28
6db6d8cb,TK325,C32190,seat,resolved,2025-08-12
4198387f,TK502,C92909,seat,resolved,2025-07-10
233da208,TK258,C44542,delay,resolved,2025-07-14
732cc513,TK765,C26715,service,resolved,2025-07-08
5fc0803b,TK174,C81425,baggage,resolved,2025-08-14
8fdb4eaf,TK383,C44610,delay,open,2025-07-29
8f408c03,TK236,C80194,other,resolved,2025-07-19
15ba90f8,TK988,C27154,baggage,open,2025-08-14
926cfbd3,TK314,C40373,seat,pending,2025-08-14
f901dabd,TK145,C88928,baggage,resolved,2025-07-04
455835b2,TK862,C44624,service,resolved,2025-07-10
143286ae,TK870,C84964,seat,resolved,2025-07-22
2ef0afdc,TK370,C82982,seat,open,2025-07-26
9df76060,TK976,C89285,seat,resolved,2025-07-02
345b7087,TK122,C46788,seat,resolved,2025-07-03
584459b0,TK499,C52849,delay,resolved,2025-07-03
e46f7644,TK325,C49758,baggage,open,2025-08-05
2d1a247c,TK477,C74047,service,resolved,2025-06-23
a74d6716,TK395,C93555,delay,resolved,2025-07-13
da13353e,TK140,C98503,service,resolved,2025-07-10
ea129f93,TK213,C31312,delay,open,2025-07-18
05e66237,TK838,C50379,delay,open,2025-06-30
c767a4f0,TK230,C21738,delay,resolved,2025-07-09
a3b4625b,TK884,C18767,baggage,resolved,2025-06-25
2056d036,TK679,C27438,baggage,open,2025-08-11
f4909582,TK395,C17069,service,resolved,2025-08-05
dec1eeea,TK138,C80188,delay,open,2025-06-23
65e05dfc,TK412,C47226,delay,open,2025-06-27
71e0985c,TK970,C28693,baggage,resolved,2025-07-17
2f39784b,TK820,C63161,other,open,2025-07-05
04973cc5,TK415,C83851,delay,pending,2025-08-12
1dec4171,TK955,C76321,seat,pending,2025-08-03
4c9cf3d7,TK744,C30538,other,resolved,2025-07-02
eb1a410e,TK745,C46575,delay,resolved,2025-07-10
128a6086,TK294,C25848,delay,resolved,2025-07-25
70a7e427,TK811,C96836,seat,resolved,2025-07-05
dd2fb913,TK602,C19569,delay,open,2025-06-28
0bb9103c,TK990,C10340,delay,resolved,2025-07-03
b670dc59,TK419,C10138,delay,resolved,2025-07-19
a6b52975,TK198,C40654,service,resolved,2025-06-30
f55a53da,TK290,C74353,delay,resolved,2025-07-30
df892472,TK736,C95090,seat,resolved,2025-06-20
e5f59ef0,TK772,C54695,baggage,resolved,2025-07-26
3b14b1e0,TK495,C28951,service,resolved,2025-07-11
0f7b23a7,TK145,C85774,other,pending,2025-08-05
a39070d4,TK838,C36421,delay,pending,2025-07-26
e8392478,TK668,C54789,baggage,open,2025-07-30
5b201594,TK687,C11207,delay,pending,2025-08-04
e6c4d5c5,TK573,C23893,service,resolved,2025-06-29
d0ec6bba,TK370,C70011,delay,pending,2025-06-22
67b33681,TK506,C82805,delay,resolved,2025-07-24
51208da8,TK256,C30878,baggage,pending,2025-06-26
1da90321,TK411,C46593,baggage,pending,2025-07-20
efd6a21a,TK701,C31083,seat,resolved,2025-08-12
549e001f,TK687,C51862,other,resolved,2025-08-07
b14906f1,TK673,C92035,service,resolved,2025-07-14
efe59216,TK289,C90018,delay,resolved,2025-08-11
20bec979,TK838,C35518,baggage,pending,2025-07-31
d6e66521,TK231,C37103,other,open,2025-08-13
3b10c5da,TK655,C29337,service,resolved,2025-07-31
