flight_number,departure_time,delay_minutes,aircraft_type,crew_issues,weather_impact
TK157,2025-06-19T00:30:00,1,B737,0,0
TK587,2025-07-02T20:00:00,0,A330,0,0
TK889,2025-07-18T22:30:00,58,B737,1,1
TK168,2025-06-30T16:15:00,0,A321,0,0
TK317,2025-07-21T15:00:00,0,B737,0,0
TK122,2025-06-19T09:15:00,0,B737,0,0
TK861,2025-07-28T00:45:00,0,A321,0,0
TK858,2025-08-14T16:45:00,23,B737,0,0
TK790,2025-07-04T04:45:00,39,A320,0,0
TK655,2025-07-18T12:45:00,5,A321,0,0
TK701,2025-07-13T18:00:00,26,A321,0,0
TK174,2025-07-18T23:45:00,21,A321,0,0
TK838,2025-06-28T02:45:00,34,A330,0,0
TK762,2025-07-15T04:45:00,44,A330,0,0
TK161,2025-07-27T15:00:00,44,B737,0,0
TK495,2025-07-06T18:45:00,23,A321,0,0
TK243,2025-06-24T04:30:00,0,B737,0,0
TK664,2025-07-24T15:00:00,28,A320,0,0
TK497,2025-07-16T04:30:00,0,A321,0,0
TK687,2025-08-07T09:15:00,0,A320,0,0
TK752,2025-07-07T09:00:00,0,B737,0,0
TK264,2025-07-09T18:45:00,54,A330,0,0
TK231,2025-07-11T05:45:00,5,B737,0,0
TK190,2025-08-06T18:30:00,2,A320,0,0
TK555,2025-07-06T06:00:00,0,A321,0,0
TK607,2025-06-28T23:00:00,0,B737,0,0
TK771,2025-07-02T14:00:00,45,A321,1,1
TK404,2025-08-02T14:30:00,0,A330,0,0
TK570,2025-06-20T10:45:00,0,A330,0,0
TK507,2025-07-19T20:45:00,0,A330,0,0
TK415,2025-06-27T04:00:00,5,A321,0,0
TK560,2025-07-19T15:00:00,18,B737,1,0
TK982,2025-08-11T14:00:00,55,A321,0,1
TK952,2025-07-21T21:30:00,0,A321,0,0
TK198,2025-08-15T20:45:00,5,B737,0,0
TK744,2025-07-09T02:00:00,47,A330,0,0
TK556,2025-07-01T00:30:00,44,A330,0,0
TK587,2025-07-15T01:45:00,19,B737,0,0
TK405,2025-08-04T00:15:00,0,A321,0,0
TK500,2025-06-29T14:30:00,0,A321,0,0
TK534,2025-07-08T05:45:00,7,A330,0,0
TK897,2025-08-01T18:30:00,0,A320,0,0
TK434,2025-06-17T22:15:00,0,A320,0,0
TK283,2025-07-30T09:00:00,31,A320,0,0
TK846,2025-07-04T15:30:00,19,A321,0,1
TK194,2025-08-05T21:45:00,0,A321,0,0
TK294,2025-07-15T02:30:00,0,A330,0,0
TK502,2025-07-26T04:15:00,16,A320,0,0
TK177,2025-07-21T12:30:00,0,A330,0,0
TK338,2025-06-21T10:30:00,25,A330,0,0
TK155,2025-07-25T13:15:00,0,A330,0,0
TK765,2025-08-02T23:30:00,0,B737,0,0
TK850,2025-06-17T12:15:00,0,A320,0,0
TK730,2025-07-10T09:30:00,0,A320,0,0
TK311,2025-07-22T03:15:00,0,B737,0,0
TK210,2025-07-25T01:30:00,0,B737,0,0
TK524,2025-07-10T05:45:00,0,A320,0,0
TK976,2025-08-10T04:00:00,0,B737,0,0
TK602,2025-06-29T03:15:00,0,A330,0,0
TK342,2025-07-16T07:00:00,0,A321,0,0
TK831,2025-08-05T03:30:00,0,A330,0,0
TK673,2025-06-20T01:30:00,3,A320,0,0
TK744,2025-08-10T21:45:00,0,B737,0,0
TK419,2025-07-09T04:15:00,21,A321,0,0
TK772,2025-08-10T17:45:00,50,A320,0,0
TK884,2025-08-07T10:30:00,2,B737,0,0
TK916,2025-08-11T11:15:00,25,A321,0,1
TK395,2025-07-25T07:30:00,0,A321,0,0
TK824,2025-07-10T04:30:00,0,B737,0,0
TK848,2025-07-05T17:45:00,22,A321,0,0
TK736,2025-07-09T00:30:00,0,A320,0,0
TK920,2025-07-07T07:30:00,49,B737,0,0
TK278,2025-08-08T09:45:00,19,A330,0,0
TK256,2025-07-09T00:00:00,51,A320,0,1
TK697,2025-08-14T09:00:00,0,A320,0,0
TK258,2025-06-30T03:00:00,58,B737,0,0
TK943,2025-07-02T01:30:00,0,B737,0,0
TK910,2025-07-20T04:45:00,6,A321,0,0
TK811,2025-07-24T14:15:00,0,A320,0,0
TK309,2025-07-22T00:30:00,0,A321,0,0
TK423,2025-08-11T23:00:00,0,A320,0,0
TK477,2025-08-07T21:30:00,0,A320,0,0
TK506,2025-08-15T13:00:00,0,A330,0,0
TK924,2025-08-15T21:30:00,0,A320,0,0
TK412,2025-06-24T08:30:00,62,A321,0,0
TK485,2025-08-09T17:30:00,0,A321,0,0
TK975,2025-06-18T18:15:00,0,A330,0,0
TK162,2025-07-04T21:15:00,18,A321,0,1
TK183,2025-07-06T16:45:00,97,B737,1,0
TK990,2025-06-21T18:15:00,21,A330,0,1
TK385,2025-07-31T07:30:00,12,A321,0,0
TK213,2025-07-17T05:30:00,65,A321,0,0
TK970,2025-08-13T09:15:00,0,B737,0,0
TK154,2025-07-19T17:30:00,0,A330,0,0
TK542,2025-08-08T21:00:00,0,B737,0,0
TK363,2025-07-13T02:45:00,0,A330,0,0
TK551,2025-06-25T04:15:00,37,A330,1,1
TK250,2025-07-26T18:45:00,10,A320,0,0
TK613,2025-08-15T14:00:00,0,A321,0,0
TK360,2025-07-10T05:45:00,0,A321,0,0
TK599,2025-06-19T21:45:00,18,A320,0,0
TK820,2025-06-27T18:00:00,53,B737,0,0
TK458,2025-08-07T21:15:00,0,A320,0,0
TK208,2025-07-13T22:00:00,0,A321,0,0
TK477,2025-08-04T22:00:00,36,A321,0,0
TK745,2025-07-20T07:15:00,0,A320,0,0
TK784,2025-07-30T20:45:00,0,A320,0,0
TK921,2025-07-04T00:30:00,13,A320,0,0
TK843,2025-07-12T21:15:00,56,A321,0,1
TK411,2025-07-14T03:30:00,2,A320,0,0
TK581,2025-08-07T01:00:00,23,A320,0,0
TK160,2025-07-04T07:15:00,49,B737,0,0
TK668,2025-06-22T16:30:00,2,A320,0,0
TK760,2025-07-30T22:00:00,0,A321,0,0
TK188,2025-08-04T14:30:00,0,B737,0,0
TK877,2025-07-31T06:00:00,44,A330,1,0
TK236,2025-06-26T15:45:00,0,A321,0,0
TK471,2025-07-08T02:15:00,24,A321,0,0
TK251,2025-07-12T11:45:00,22,A330,0,0
TK138,2025-08-01T23:00:00,50,A321,0,0
TK260,2025-07-31T12:15:00,0,A330,0,0
TK645,2025-07-17T22:00:00,4,A330,0,0
TK539,2025-07-03T14:00:00,0,A321,0,0
TK488,2025-08-15T16:30:00,62,A320,0,0
TK245,2025-07-10T15:00:00,0,A320,0,0
TK988,2025-07-23T03:45:00,0,A330,0,0
TK479,2025-08-10T06:45:00,0,B737,0,0
TK325,2025-07-22T06:45:00,54,A330,0,0
TK465,2025-08-06T10:15:00,10,A330,1,0
TK987,2025-08-10T04:00:00,0,A330,0,0
TK119,2025-06-19T16:00:00,0,A320,0,0
TK838,2025-07-09T12:45:00,0,A320,0,0
TK456,2025-07-13T10:00:00,115,A320,0,0
TK294,2025-07-22T01:45:00,35,A330,0,0
TK223,2025-08-01T05:45:00,0,B737,0,0
TK136,2025-06-17T15:00:00,0,A320,0,0
TK400,2025-07-15T18:15:00,13,A321,0,0
TK848,2025-07-14T05:45:00,0,A321,0,0
TK670,2025-06-29T08:00:00,0,A321,0,0
TK290,2025-07-20T05:45:00,8,A330,0,1
TK455,2025-08-14T13:00:00,0,A321,0,0
TK145,2025-07-20T16:00:00,0,A330,0,0
TK955,2025-07-02T02:45:00,27,A321,0,0
TK671,2025-08-01T04:00:00,0,B737,0,0
TK423,2025-07-20T16:45:00,67,A330,0,0
TK573,2025-06-21T17:15:00,0,A321,0,0
TK862,2025-07-12T19:00:00,54,A320,0,1
TK581,2025-07-01T01:00:00,0,A330,0,0
TK370,2025-06-22T10:45:00,0,A320,0,0
